# Version 1.0
# Parameter A B C D
0.329 2.909 0.208 4.161
0.475 4.79 0.755 2.217
0.031 3.445 1.234 2.851
0.645 2.085 0.008 2.379
0.944 2.706 0.338 4.736
1.5 2.764 1.01 4.935
1.128 4.287 1.806 3.653
0.923 3.645 0.898 0.573
1.61 2.234 0.907 0.693
1.313 2.074 1.968 2.532
1.656 1.416 0.309 1.714
1.77 1.613 1.538 3.982
1.552 3.815 0.076 2.926
0.144 1.49 0.436 3.203
0.619 4.008 0.183 1.403
1.504 0.903 1.379 1.5
1.88 4.149 1.516 2.638
0.805 1.004 0.392 4.289
0.406 0.662 0.839 1.869
1.859 2.385 1.692 1.57
1.06 0.541 0.568 2.488
1.284 1.768 0.045 3.189
0.983 1.656 0.293 0.933
1.437 4.892 0.654 2.99
0.695 3.775 1.275 4.874
1.098 2.208 1.782 4.659
1.964 3.021 0.496 2.067
0.052 3.171 0.433 2.359
1.37 4.635 0.604 1.335
1.241 0.6 1.424 3.287
0.514 2.479 1.631 0.802
1.155 4.939 1.325 2.226
0.361 3.409 1.9 2.144
0.458 4.759 1.454 3.429
0.752 1.043 1.766 1.636
1.741 4.032 1.176 1.124
1.588 1.234 0.73 4.398
0.261 4.389 0.671 3.89
1.9 3.702 0.797 3.761
1.973 2.311 1.13 2.822
0.17 3.545 0.966 0.969
0.892 1.312 1.057 0.623
1.178 3.935 1.951 1.954
0.093 1.84 1.348 1.778
0.799 4.191 0.112 3.117
0.124 1.875 1.597 3.53
1.203 2.885 1.651 0.795
0.837 1.394 1.158 4.845
0.538 3.102 1.918 3.808
0.202 2.596 0.982 4.573
1.704 3.296 1.729 4.061
1.357 3.253 0.145 1.232
1.413 4.59 1.209 4.434
0.578 4.525 1.495 1.275
1.831 0.851 0.812 2.744
1.028 4.423 0.551 4.549
0.277 1.93 0.529 1.029
0.391 0.785 1.099 3.596
1.679 2.642 0.238 4.215
0.724 1.144 1.865 3.377
0.273 1.607 0.153 4.797
0.39 2.303 0.078 2.505
0.231 2.749 0.041 0.955
0.167 4.208 0.042 4.377
0.362 0.788 0.289 2.7
0.344 3.368 0.323 1.537
0.068 2.976 0.347 1.407
0.016 2.473 0.263 4.062
0.139 1.336 0.393 2.894
0.175 4.956 0.221 1.04
0.323 3.837 0.203 4.655
0.045 1.173 0.129 1.815
0.306 4.639 0.113 2.35
0.117 1.972 0.009 3.796
0.022 3.615 0.085 1.981
0.102 4.449 0.3 3.472
0.283 3.292 0.361 3.885
0.238 1.838 0.245 0.543
0.2 0.579 0.183 3.135
0 2.5 0 2.5
0.384 11.913 0.039 16.915
0.609 5.226 0.597 8.049
0.869 15.99 0.637 18.846
0.879 16.836 0.345 7.699
0.347 7.602 0.248 6.982
0.353 15.273 0.962 8.403
0.981 8.759 0.688 10.488
0.438 5.844 0.854 11.705
0.193 19.233 0.272 12.199
0.009 12.185 0.668 9.321
0.45 17.104 0.099 8.84
0.849 9.535 0.362 6.015
0.667 10.597 0.975 11.354
0.495 13.472 0.385 5.013
0.726 19.648 0.47 13.789
0.713 9.923 0.878 18.115
0.267 6.246 0.151 15.104
0.597 11.234 0.017 9.652
0.307 9.243 0.741 5.684
0.291 18.441 0.411 18.153
0.536 19.586 0.613 7.53
0.421 15.07 0.848 18.897
0.694 14.316 0.315 19.371
0.517 5.536 0.548 17.098
0.076 12.777 0.917 14.729
0.761 8.722 0.127 17.435
0.963 13.727 0.186 12.941
0.159 18.554 0.724 13.374
0.136 16.293 0.431 6.305
0.943 15.699 0.764 12.598
0.111 11.5 0.122 10.034
0.234 10.937 0.492 19.839
0.922 8.234 0.568 16.336
0.039 13.094 0.286 15.806
0.551 18.044 0.939 14.164
0.804 6.811 0.209 11.99
0.067 6.979 0.517 10.933
0.794 14.401 0.823 6.595
0.201 7.721 0.799 16.238
0.644 17.517 0.067 15.488
0.264822877570987 19.927170483085 0.334389170010885 3.95961983750264
0.162600765765334 13.8973631597279 0.170844087087446 0.815945216971967
0.394073459040374 9.84379279582451 0.189855345814592 4.61020066493398
0.316786397822822 6.58262010547332 0.604201739281416 1.26294238311756
0.462704956484959 18.1365468058114 0.490798293840554 0.00721558449893362
0.0554996865025411 7.34818019128094 0.371340310966803 3.8374718110491
0.118070659755419 16.2493693642318 0.716765794737471 2.67621524502627
0.5232634833393 10.2923259150703 0.0342133197519514 1.70256010269643
0.558698003226891 12.2830711922143 0.707136618511544 2.79278658317505
0.104106734087691 1.47765463994195 0.0634123644895024 12.3286807932891
0.542186088130499 1.68605757101128 0.408020863330199 9.00992073041077
0.43930452807496 3.63591755455774 0.10476370120628 16.9567276479211
0.141332624154165 0.922271902802297 0.567338209971786 5.82034321812292
0.236124867635469 3.5 0.258435925758547 8.2
0.32972012758255 1.8 0.744642350864079 18.5
0.350476459305113 0.155046846096714 0.32986684255302 15.0196568287599
0.0563485639635473 2.90387853501468 0.500131625557939 14.1060825095822
0.477029732475057 4.26898102314832 0.62697126004431 11.5170947667987
0.439991897903383 6 0.201472424087115 5.7
0.100498210522346 3.8 0.365063698845915 6.2
