"A" "B" "C" "D"
"1" 0.264822877570987 19.927170483085 0.334389170010885 3.95961983750264
"2" 0.162600765765334 13.8973631597279 0.170844087087446 0.815945216971967
"3" 0.394073459040374 9.84379279582451 0.189855345814592 4.61020066493398
"4" 0.316786397822822 6.58262010547332 0.604201739281416 1.26294238311756
"5" 0.462704956484959 18.1365468058114 0.490798293840554 0.00721558449893362
"6" 0.0554996865025411 7.34818019128094 0.371340310966803 3.8374718110491
"7" 0.118070659755419 16.2493693642318 0.716765794737471 2.67621524502627
"8" 0.5232634833393 10.2923259150703 0.0342133197519514 1.70256010269643
"9" 0.558698003226891 12.2830711922143 0.707136618511544 2.79278658317505
"10" 0.104106734087691 1.47765463994195 0.0634123644895024 12.3286807932891
"11" 0.542186088130499 1.68605757101128 0.408020863330199 9.00992073041077
"12" 0.43930452807496 3.63591755455774 0.10476370120628 16.9567276479211
"13" 0.141332624154165 0.922271902802297 0.567338209971786 5.82034321812292
"14" 0.236124867635469 3.5 0.258435925758547 8.2
"15" 0.32972012758255 1.8 0.744642350864079 18.5
"16" 0.350476459305113 0.155046846096714 0.32986684255302 15.0196568287599
"17" 0.0563485639635473 2.90387853501468 0.500131625557939 14.1060825095822
"18" 0.477029732475057 4.26898102314832 0.62697126004431 11.5170947667987
"19" 0.439991897903383 6 0.201472424087115 5.7
"20" 0.100498210522346 3.8 0.365063698845915 6.2
