200.0000000	5.1677700	4.1585900	7.0168700
210.0000000	4.1405300	3.0768000	5.7864600
220.0000000	3.2766800	2.4312100	4.8185700
230.0000000	2.6441900	2.0312000	3.8075200
240.0000000	2.1180200	1.5364100	2.8044100
250.0000000	1.8273000	1.4524100	2.5726300
260.0000000	1.5934800	1.1395100	2.2965000
270.0000000	1.2170800	0.9335120	1.7170800
280.0000000	1.0962600	0.8277200	1.5278700
290.0000000	0.9767570	0.6936780	1.3265800
310.0000000	0.7206680	0.5108120	0.9586210
320.0000000	0.6286590	0.4799940	0.8688270
330.0000000	0.5766130	0.4165590	0.7901460
340.0000000	0.5117010	0.3772980	0.7179550
350.0000000	0.4357470	0.3295670	0.6094400
450.0000000	0.1928800	0.1469790	0.2824170
500.0000000	0.1433640	0.1162270	0.1743160
550.0000000	0.1687290	0.1202500	0.2385690
600.0000000	0.1459480	0.1045690	0.2082680

